Campaign Description History,Call Type Designation,TFN,,Script,Transfer,Percent,Report,SalesForceID,SourceID,BusinessDesignation,BusinessSourceID,Greeting
Business Webforms,Business,1111100000,,Business,0,,0,70130000001sgHH,,Business Web,,
PreInstall DID New Sales transfers,Other,3016377494,,Consumer Residential,0,,0,,,,,
BI RV EPQ Consumer switch to BI Calls and Orders,Business,3333333333,,Business,0,,0,,,Business Consumer Referral,,
Comettos Auto Business SOC,Dealer,5551231234,,Business,0,,0,,,,76823,<font size='8' color='red'><b>Test Only!</b></font>
Skyview Solutions Business SOC,Dealer,5552345678,,Business,0,,0,,,,76758,<font size='8' color='red'><b>Test Only!</b></font>
Test TFN,Other,5555555555,,Consumer Residential,0,,0,,,,,
EPQ Consumer switch to BI Calls,Business,7777777777,,Business,0,,0,,,Business Consumer Referral,,
DTV Adult,Broadcast,8002451382,,Consumer Residential,0,,1,,,,,
DTV Male,Broadcast,8002465798,,Consumer Residential,0,,1,,,,,
Mobile 2013,Web,8002677285,,Consumer Residential,0,,1,,,,,
VoIP Website referral to new Sales,Web,8002679403,,Consumer Residential,0,,0,,,,,
DTV Family,Broadcast,8002740572,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8002740578,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8002745164,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8002749752,,Consumer Residential,0,,1,,,,,
DTV Family ,Broadcast,8002759506,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8002767328,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8002774200,,Consumer Residential,0,,1,,,,,
DISH Family,Broadcast,8002778908,,Consumer Residential,0,,1,,,,,
DTV Family Lifestyle,Broadcast,8002782584,,Consumer Residential,0,,1,,,,,
DISH Family,Broadcast,8002794091,,Consumer Residential,0,,1,,,,,
DISH Family,Broadcast,8002796823,,Consumer Residential,0,,1,,,,,
DISH Family,Broadcast,8002797448,,Consumer Residential,0,,1,,,,,
DTV POS3A8916XH,Broadcast,8002828916,,Consumer Residential,0,,1,,,,,
DTV POS3M0532XH,Broadcast,8002830532,,Consumer Residential,0,,1,,,,,
DTV POS3L2841XH,Broadcast,8002832841,,Consumer Residential,0,,1,,,,,
DTV Lifestyle,Broadcast,8002988174,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003060708,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003088964,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003144820,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003144852,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003144863,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003144951,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003205877,,Consumer Residential,0,,1,,,,,
DISH Ubiquity Slow,Broadcast,8003421005,,Consumer Residential,0,,1,,,,,
DISH Ubiquity Slow,Broadcast,8003625265,,Consumer Residential,0,,1,,,,,
National Cable Me TV,Broadcast,8003762742,,Consumer Residential,0,,1,,,,,
TV Dubbed TFN 2013 Q2,Broadcast,8003817743,,Consumer Residential,0,,1,,,,,
DTV Adult DSL,Broadcast,8004028868,,Consumer Residential,0,,1,,,,,
DTV Young Adult,Broadcast,8004089195,,Consumer Residential,0,,1,,,,,
DTV Male DSL,Broadcast,8004107849,,Consumer Residential,0,,1,,,,,
DTV Lifestyle DSL,Broadcast,8004132294,,Consumer Residential,0,,1,,,,,
DTV News DSL,Broadcast,8004132487,,Consumer Residential,0,,1,,,,,
DTV Sports DSL,Broadcast,8004132789,,Consumer Residential,0,,1,,,,,
DTV Female DSL,Broadcast,8004132923,,Consumer Residential,0,,1,,,,,
DTV Young Adult DSL,Broadcast,8004135284,,Consumer Residential,0,,1,,,,,
DTV Information DSL,Broadcast,8004135487,,Consumer Residential,0,,1,,,,,
DTV Entertainment DSL,Broadcast,8004136735,,Consumer Residential,0,,1,,,,,
DTV Female,Broadcast,8004149968,,Consumer Residential,0,,1,,,,,
DTV Adult UA,Broadcast,8004168443,,Consumer Residential,0,,1,,,,,
DTV Sports,Broadcast,8004263861,,Consumer Residential,0,,1,,,,,
DTV News,Broadcast,8004271852,,Consumer Residential,0,,1,,,,,
DISH Americas Best Choice,Broadcast,8004279565,,Consumer Residential,0,,1,,,,,
DTV Americas Best Choice,Broadcast,8004279631,,Consumer Residential,0,,1,,,,,
Gen4 Magazine Ad Oct,Campaigns,8004279642,,Consumer Residential,0,,0,,,,,
DTV Americas Best Choice,Broadcast,8004279646,,Consumer Residential,0,,1,,,,,
DTV Installer 60 V1 Free Install Gen4,Broadcast,8004283165,,Consumer Residential,0,,1,,,,,
DTV Installer 60  V1 Free Install Gen4,Broadcast,8004289570,,Consumer Residential,0,,1,,,,,
DISH Installer 60 V1 Free Install Gen4,Broadcast,8004295314,,Consumer Residential,0,,1,,,,,
DISH Americas Best Choice,Broadcast,8004295594,,Consumer Residential,0,,1,,,,,
Dish Installer 60 V1 Free Install Gen4,Broadcast,8004296136,,Consumer Residential,0,,1,,,,,
DTV Americas Best Choice,Broadcast,8004319300,,Consumer Residential,0,,1,,,,,
National Cable NewsMax,Broadcast,8004659535,,Consumer Residential,0,,1,,,,,
National Cable Movies Channel,Broadcast,8004701420,,Consumer Residential,0,,1,,,,,
National Cable Pursuit Channel,Broadcast,8004814837,,Consumer Residential,0,,1,,,,,
DISH Americas Best Choice  ,Broadcast,8004882828,,Consumer Residential,0,,1,,,,,
National Cable Weather Nation,Broadcast,8005032845,,Consumer Residential,0,,1,,,,,
National Cable RFD TV,Broadcast,8005064322,,Consumer Residential,0,,1,,,,,
National Cable Antenna TV,Broadcast,8005214480,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL17,Broadcast,8005490291,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL06,Broadcast,8005490338,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL08,Broadcast,8005491470,,Consumer Residential,0,,1,,,,,
DTV Entertainment,Broadcast,8005491890,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL07,Broadcast,8005499710,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL21,Broadcast,8005499857,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL05,Broadcast,8005499872,,Consumer Residential,0,,1,,,,,
DISH Young Adult ,Broadcast2,8005501691,,Consumer Residential,0,,1,,,,,
DISH Adult,Broadcast2,8005510147,,Consumer Residential,0,,1,,,,,
DISH Adult,Broadcast2,8005513017,,Consumer Residential,0,,1,,,,,
DISH Young Adult,Broadcast2,8005513710,,Consumer Residential,0,,1,,,,,
DISH Entertainment ,Broadcast2,8005532417,,Consumer Residential,0,,1,,,,,
DISH Mens,Broadcast2,8005536587,,Consumer Residential,0,,1,,,,,
DISH Entertainment ,Broadcast2,8005536761,,Consumer Residential,0,,1,,,,,
DISH News ,Broadcast2,8005537403,,Consumer Residential,0,,1,,,,,
DISH Mens,Broadcast2,8005537497,,Consumer Residential,0,,1,,,,,
DISH Women ,Broadcast2,8005537649,,Consumer Residential,0,,1,,,,,
DISH News ,Broadcast2,8005538075,,Consumer Residential,0,,1,,,,,
DISH Sports ,Broadcast2,8005551510,,Consumer Residential,0,,1,,,,,
DISH Sports ,Broadcast2,8005551520,,Consumer Residential,0,,1,,,,,
DISH Women ,Broadcast2,8005552459,,Consumer Residential,0,,1,,,,,
DTV Information,Broadcast,8005561985,,Consumer Residential,0,,1,,,,,
DTV Female UA,Broadcast,8005575014,,Consumer Residential,0,,1,,,,,
National Cable MAV TV,Broadcast,8005621292,,Consumer Residential,0,,1,,,,,
DTV Adult Overnight Spot,Broadcast,8005791327,,Consumer Residential,0,,1,,,,,
DTV Male Ubiquity Logo Overnight Spot,Broadcast,8005791332,,Consumer Residential,0,,1,,,,,
DTV Lifestyle Overnight Spot,Broadcast,8005791619,,Consumer Residential,0,,1,,,,,
DTV Female Ubiquity Logo Overnight Spot,Broadcast,8005792375,,Consumer Residential,0,,1,,,,,
DTV Sports Overnight Spot,Broadcast,8005795017,,Consumer Residential,0,,1,,,,,
DTV Installer 60 V1 Free Install Gen4,Broadcast,8005933399,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8005936453,,Consumer Residential,0,,1,,,,,
DTV Entertainment Overnight Spot,Broadcast,8005942167,,Consumer Residential,0,,1,,,,,
PI Ubiquity Logo Overnight Spot NTL20,Broadcast,8005981460,,Consumer Residential,0,,1,,,,,
DTV Family,Broadcast,8006003357,,Consumer Residential,0,,1,,,,,
DTV Male UA,Broadcast,8006046097,,Consumer Residential,0,,1,,,,,
DTV Adult,Broadcast,8006046846,,Consumer Residential,0,,1,,,,,
DTV Adult Underaddressable DSL,Broadcast,8006052927,,Consumer Residential,0,,1,,,,,
DTV Male Underaddressable DSL,Broadcast,8006055163,,Consumer Residential,0,,1,,,,,
DTV Lifestyle Underaddressable DSL,Broadcast,8006056208,,Consumer Residential,0,,1,,,,,
DTV Female Underaddressable DSL,Broadcast,8006056416,,Consumer Residential,0,,1,,,,,
DTV Information Underaddressable DSL,Broadcast,8006056643,,Consumer Residential,0,,1,,,,,
DTV  Entertainment Underaddressable DSL,Broadcast,8006057674,,Consumer Residential,0,,1,,,,,
